player_id,player_name,team_name,date,session_type,load,acute_7d,chronic_28d,acwr,risk_zone
2941,Ismaïla Sarr,Senegal,2022-10-24,Descanso,0.0,,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-25,Entrenamiento,261.2,,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-26,Entrenamiento,302.0,,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-27,Entrenamiento,308.0,,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-28,Entrenamiento,293.1,,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-29,Entrenamiento,269.8,,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-30,Entrenamiento,354.6,255.5,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-10-31,Descanso,0.0,255.5,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-01,Entrenamiento,341.7,267.0,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-02,Entrenamiento,369.6,276.7,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-03,Entrenamiento,393.8,288.9,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-04,Entrenamiento,404.4,304.8,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-05,Entrenamiento,330.6,313.5,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-06,Entrenamiento,399.7,320.0,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-07,Descanso,0.0,320.0,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-08,Entrenamiento,422.6,331.5,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-09,Entrenamiento,424.4,339.4,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-10,Entrenamiento,359.6,334.5,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-11,Entrenamiento,346.4,326.2,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-12,Entrenamiento,362.0,330.7,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-13,Entrenamiento,389.6,329.2,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-14,Descanso,0.0,329.2,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-15,Entrenamiento,524.7,343.8,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-16,Entrenamiento,418.9,343.0,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-17,Entrenamiento,407.4,349.9,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-18,Entrenamiento,510.3,373.3,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-19,Entrenamiento,585.5,405.2,,,Sin datos
2941,Ismaïla Sarr,Senegal,2022-11-20,Activación,303.4,392.9,324.4,1.21,Óptimo
2941,Ismaïla Sarr,Senegal,2022-11-21,Partido,932.2,526.1,357.7,1.47,Precaución
2941,Ismaïla Sarr,Senegal,2022-11-22,Recuperación,119.6,468.2,352.6,1.33,Precaución
2941,Ismaïla Sarr,Senegal,2022-11-23,Entrenamiento,543.3,486.0,361.3,1.35,Precaución
2941,Ismaïla Sarr,Senegal,2022-11-24,Activación,289.8,469.2,360.6,1.3,Óptimo
